Writing output from calling the Triangle Fixing Algorithm
Lambda = 0.5, gamma = 5.0, Etol = 0.1, TriTol = 0.1 
Iteration 243, E changed by 0.125, T-map: 0.2, Obj: 552.058, Last TriCheck = 0.0192887526090329
Iteration 244, E changed by 0.115, T-map: 0.2, Obj: 552.421, Last TriCheck = 0.0192887526090329
Iteration 245, E changed by 0.123, T-map: 0.2, Obj: 551.882, Last TriCheck = 0.0192887526090329
Iteration 246, E changed by 0.12, T-map: 0.2, Obj: 552.352, Last TriCheck = 0.0192887526090329
Iteration 247, E changed by 0.123, T-map: 0.2, Obj: 552.146, Last TriCheck = 0.0192887526090329
Iteration 248, E changed by 0.113, T-map: 0.2, Obj: 552.499, Last TriCheck = 0.0192887526090329
Iteration 249, E changed by 0.121, T-map: 0.2, Obj: 551.979, Last TriCheck = 0.0192887526090329
Iteration 250, E changed by 0.118, T-map: 0.2, Obj: 552.434, Last TriCheck = 0.0192887526090329
Iteration 251, E changed by 0.121, T-map: 0.2, Obj: 552.235, Last TriCheck = 0.0192887526090329
Iteration 252, E changed by 0.112, T-map: 0.2, Obj: 552.578, Last TriCheck = 0.0192887526090329
Iteration 253, E changed by 0.119, T-map: 0.2, Obj: 552.071, Last TriCheck = 0.0192887526090329
Iteration 254, E changed by 0.117, T-map: 0.2, Obj: 552.514, Last TriCheck = 0.0192887526090329
Iteration 255, E changed by 0.119, T-map: 0.2, Obj: 552.323, Last TriCheck = 0.0192887526090329
Iteration 256, E changed by 0.11, T-map: 0.2, Obj: 552.655, Last TriCheck = 0.0192887526090329
Iteration 257, E changed by 0.117, T-map: 0.2, Obj: 552.159, Last TriCheck = 0.0192887526090329
Iteration 258, E changed by 0.115, T-map: 0.2, Obj: 552.591, Last TriCheck = 0.0192887526090329
Iteration 259, E changed by 0.118, T-map: 0.2, Obj: 552.411, Last TriCheck = 0.0192887526090329
Iteration 260, E changed by 0.108, T-map: 0.2, Obj: 552.731, Last TriCheck = 0.0192887526090329
Iteration 261, E changed by 0.115, T-map: 0.2, Obj: 552.244, Last TriCheck = 0.017996217279669102
Iteration 262, E changed by 0.113, T-map: 0.2, Obj: 552.665, Last TriCheck = 0.017996217279669102
Iteration 263, E changed by 0.116, T-map: 0.2, Obj: 552.498, Last TriCheck = 0.017996217279669102
Iteration 264, E changed by 0.106, T-map: 0.2, Obj: 552.806, Last TriCheck = 0.017996217279669102
